药材,别名,性味归经,功用,症状,药材分类,用法用量,注意事项
鹅喉管,Ansercygnoidesorientalis(L.),华东、华南地区,清热解毒。,喉痹，哮喘，赤白带下。,味甘，性平，归肺经,内服：研末，1个。,尚不明确。
老枪谷子,味辛，性凉。归肺、脾经,植物,清热透表。,小儿水痘，麻疹。,,内服：煎汤，3-6g。,
鳆鱼,甘、咸，平。归肺、肝、肾经,动物,滋阴清热，益精明目，调经润肠。,用于劳热骨蒸，咳嗽，青盲内障，月经不调，带下，肾虚小便频数，大便燥结。,本词条仅用于中医药知识的科普，对于任何形式的野生动物和野生植物的使用均须遵守国家的相关法律法规。,内服：煮食或煎汤，适量。,脾胃虚弱者不可多服。
密花轮环藤,味苦，性寒。入肺、肝、膀胱经,小毒,清热解毒，利湿通淋，散瘀止痛。,风热感冒，咽喉疼痛，牙痛，湿热泄泻，小便淋痛，跌打损伤。,植物,内服：煎汤，3-15g。,
雷蘑,雷菌、口蘑、青腿子、巨陡头、大青蘑,东北、内蒙古、河北、新疆、山西、青海、浙江、福建、广西、云南、西藏,解表清热，透疹，消食，抗痨。,感冒咳嗽，麻疹透发不畅，食积停滞，脘腹胀满，肺结核。,味甘，性平，归肺经,内服：煎汤，9-15g。,尚不明确。
蜢臂兰,鸡腿莲、过天涯、落山脚、山槟榔、上石虾《广西药用植物名录》，石壁风、老虎牙（广西）,味甘，性平,滋阴清热，生津止渴。,热病伤津，烦渴，盗汗，肺结核，瘰疬，疮疡肿毒。,植物,内服：煎汤，6-15g。,
钝叶草,薏米草、鸭口草,广东、广西、云南,益气，催产。,胃下垂，子宫脱垂，习惯性流产，难产。,味甘，性平，归胃、肝经,内服：煎汤，15-30g。,尚不明确。
花蜘蛛,草蜘蛛、花结蛛、金蛛,苦、寒。肝、肾经,解毒消肿，截疟。,用于蛇咬伤，疔毒疮肿，温疟。,小毒,研末入丸、散，0.5-1g，或每日1只。外用适量，研末撒或调敷。,本品有毒，不可久服，更不能超量使用。
罗裙带根,开喉箭、扁担七、千层皮,味苦、辛，性凉。入肺、肝二经,清热解毒，散瘀止痛。,痈疽疮肿，疥癣，乳痈，喉痛，牙痛，风湿关节痛，跌打损伤，骨折，毒蛇咬伤。,有毒（《四川中药志》1979年版）,外用：适量，捣敷；或绞汁涂。内服：煎汤，3-9g；或入散剂。,内服宜慎。
鳡鱼,鳏颊、魠、哆口鱼、黄颊、黄颊鱼、?鱼、竿鱼、杆条鱼、大口鱤、水老虎,甘，温；归脾、胃经,暖中益胃。,食之已呕。,动物,,
酒饼婆,酒饼叶、油椎、蕉藤、酒饼子、牛刀树、牛菍子、牛头罗、酒饼木、牛奶果、石龙叶、土枇杷、山梗子、小十八风藤。,味辛、苦，性微温。归肝、胃经,祛风除湿，行气健胃，止痛，化痰止咳。,用于风湿痹痛，腰腿痛，跌打损伤，消化不良，腹胀腹泻，咳嗽痰多。,无毒,内服：煎汤，根15-30g，叶10-15g；或绞汁。外用：适量，捣敷或煎汤熏洗。,
藜茎,ChenopodiumalbumL.,全国,腐蚀赘疣。,寻常疣。,味甘，性平，归肺经,外用：烧灰或取汁煎膏，调敷患处。,尚不明确。
栗树皮,栗树白皮,华北、西南和长江流域各地,解毒消肿，收敛止血。,癞疮，丹毒，口疳，漆疮，便血，鼻衄，创伤出血，跌仆伤痛。,味微苦、涩，性平，归心、肝、胃经,内服：煎汤，5-10g。外用：适量，煎水洗；或烧灰调敷。,尚不明确。
连蕊茶,CamelliafraternaHance,江苏、安徽、浙江、江西、福建,清热解毒消肿。,痈肿疮疡，咽喉肿痛，跌打损伤。,味微苦，性微寒，归肺、肝经,内服：煎汤，9-15g。外用：适量，鲜品捣敷。,尚不明确。
冷饭果,糯米果、碎米团果、山五味子、老米酒,味涩，性平,清热解毒，止咳。,头痛，咳嗽，肺炎，跌打损伤，荨麻疹，牙疳。,植物,内服：煎汤，6-9g。,尚不明确。
华紫报春花,三月花、报春花,微苦、微温。入肝、脾、肾经,散瘀止血，消疳。,用于产后恶露不止，崩漏，小儿疳积。,植物,内服：煎汤，9-12g。,
毛足铁线蕨,毛脚铁线蕨、猪鬃草《西昌中草药》,味微苦，性寒。入肾、肝、大肠经,清热解毒，利尿通淋。,痢疾，尿路感染，白浊，乳腺炎。,植物,内服：煎汤，9-15g。,
牛耳枫枝叶,味辛、甘，性凉。归肝、肾经,小毒,祛风止痛，解毒消肿。,用于风湿骨痛，疮疡肿毒，跌打骨折，毒蛇咬伤。,植物,外用：适量，煎水洗；或捣烂敷。,孕妇禁服。
马棘,野槐树、山皂角、铁皂角、山绿豆、一味药、紫花料梢、野绿豆、马料梢、夜闭草、绿豆柴、苦处喜、豆瓣木,味苦、涩，性平,清热解表，散瘀消积。,风热感冒，肺热咳嗽，烧烫伤，疔疮，毒蛇咬伤，瘰疬，跌打损伤，食积腹胀。,无毒《四川中药志》,内服：煎汤，20-30g。外用：适量，鲜品捣敷；干品或炒炭存性研末，调敷。,
咳嗽草,土香薷、野香薷、野紫苏（四川马尔康）,云南、贵州,发汗解表，化湿和中。,暑天感冒，头痛身重，无汗恶寒，腹痛吐泻，水肿，疮痈肿毒，蛲虫病，阴道滴虫。,味辛，性微温,内服：煎汤，3-9g；或研末。外用：适量，捣烂敷；或研末敷。,表虚多汗慎服。
麻柳叶,枫杨叶《湖南药物志》，柳树叶（南药《中草药学》）,味辛、苦，性温。入肺、肝经,祛风止痛，杀虫止痒，解毒敛疮。,风湿痹痛，牙痛，膝关节痛，疥癣，湿疹，阴道滴虫，烫伤，创伤，溃疡不敛，血吸虫病，咳嗽气喘。,有毒,内服：煎汤，6-15g。外用：适量，煎水外洗；乙醇浸搽；或捣敷。,孕妇禁服。
牛耳枫子,土鸦胆子、羊屎子、假鸦胆子、猪肚、珠碌子,味苦、涩，性平。归大肠经,止痢。,用于久痢。,有毒,内服：煎汤，3-4.5g。,孕妇禁服。
蒙自草胡椒,散血丹、狗骨头、海尼豆瓣绿《云南中草药》,味甘，性凉,散瘀止血。,吐血，衄血。,植物,内服：煎汤，3-10g。,
红粘谷子,繁穗苋,味甘、苦，性微寒。归肝、大肠经,清热解毒，活血消肿。,痢疾，胁痛，跌打损伤，痈疮肿毒。,无毒,内服：煎汤，9-15g。外用：适量，研末，调敷。,
红树果,无毒,植物,收敛止泻。,肠滑久泻。,,内服：3-10g，鲜品捣汁；或干品研末。,~湿热泻痢禁服。~
犁头草,紫金锁、紫花地丁、小甜水茄、瘩背草、三角草、犁头尖、烙铁草、地丁草、紫地丁、羊蹄甲、犁铧尖。,味苦、微辛，性寒。归脾经,清热解毒，化瘀排脓，凉血清肝。,痈疽肿毒，乳痈，肠痈下血，化脓性骨髓炎，黄疸，目赤肿痛，瘰疬，外伤出血，蛇伤。,植物,内服：煎汤，9-15g，鲜品30-60g；或捣汁服。外用：适量，捣敷。,
冷地卫矛,EuonymusfrigidusWall.exRoxb.,云南西北部、西藏（定结、墨脱）,破血消症，调经止痛。,症瘕腹痛，月经不调，产后血晕，关节痹痛。,味苦，性寒,内服：煎汤，3-9g。,孕妇慎用。
麋脂,ElaphurusdavidianusMilne-Edwards,北京、江苏,通血脉，祛风寒，润皮肤，解毒。,风寒温痹，四肢拘缓，头面风肿，痈疽恶疮，面生疮疱等病证。,味甘、辛，性温，归心、肝经,内服：烊化冲，适量。外用：适量，涂敷；或入面脂。,尚不明确。
萝芙木茎叶,苦，凉。肺、脾、肝经,植物,清热解毒，活血消肿，降压。,咽喉肿痛，跌打瘀肿，毒蛇咬伤，高血压。,,内服：煎汤，15-30g。外用：适量，捣敷；或煎水洗。,有胃病及气血虚寒者忌用。
螺蛳,蜗篱（《别录》），师螺（《本草拾遗》），蜗蠃（《纲目》）。,全国,清热，利水，明目。,黄疸，水肿，淋浊，消渴，痢疾，目赤翳障，痔疮，肿毒。,味甘，性寒，归膀胱经,内服：煮食，20个；或煎汤；或捣汁。外用：适量，捣敷。,胃中有冷饮，腹中有久泄不实，并有冷瘕宿疝，或有久溃痈疮未敛，不宜食之。
密脉鹅掌柴,七叶莲、五加风、木克买、五加皮《云南药用植物名录》，龙爪树、汉桃叶《云南中草药选》，万年青、五爪叶《玉溪中草药》,味苦、辛，性温。入肝、胃经,祛风止痛，活血消肿。,风湿痹痛，胃脘痛，跌打伤肿，骨折，外伤出血。,植物,内服：煎汤，9-15g；或浸酒。外用：适量，捣敷。,孕妇慎服。
罗汉松根皮,味甘、微苦，性微温。归肺、胃、肝经,植物,活血祛瘀，祛风除湿，杀虫止痒。,跌打损伤，风湿痹痛，癣疾。,,内服：煎汤，9-15g。外用：适量，捣烂敷；或水煎熏洗。,
对生耳蕨,蜈蚣草、灰贯众,味酸、涩，性微寒。归肝、肾经,活血止痛，消肿，利尿，预防感冒。,外用治跌打损伤，蛇咬伤。,无毒,15-30g。外用：适量，捣敷或研末撒。,
槭叶草,腊八菜、爬山虎,吉林、辽宁,宁心安神。,用于心慌，心悸。,味甘、微苦，性平。归心经,内服：煎汤，9-15g。,尚不明确。
甘草梢,甘，寒。归心、小肠、膀胱经,植物,泻火解毒，利尿通淋。,用于热淋，小便短少，阴茎中疼痛，胸中积热。,,内服：煎汤，1.5-4.5g。,脾胃虚寒者不宜用。
红苕母子,味甘，性平。归脾经,无毒,生肌敛疮。,慢性溃疡，汤火伤。,植物,外用：捣敷。,
红毛五加皮,五爪刺、川加皮、刺加皮、五加皮、蜀五加,味辛、微苦，性温。归肝、肾经,祛风湿，强筋骨，活血利水。,风寒湿痹，拘挛疼痛，筋骨痿软，足膝无力，心腹疼痛，疝气，跌打损伤，骨折，体虚浮肿。,无毒,内服：煎汤，3-15g；或泡酒。外用：适量，研末调敷。,阴虚火旺者慎服。
柯榔木,大叶子树、野火绳、大泡火绳、大毛叶子火绳,味苦，性寒,清热凉血，透疹解毒。,用于斑疹透发不畅，麻疹不出，痈肿疮毒，脓成不溃。,无毒,内服：煎汤，9-15g。外用：适量，捣敷。,
牛奶菜,扁藤,浙江、江西、湖北、湖南、福建、广东、广西、四川,补肾强筋，健脾益气。,肾虚腰痛，风湿劳伤，脾胃虚弱，缺乳等症。,味甘，性温,日用三至六钱，内服。,尚不明确。
马骨,EquuscaballusorientalisNoack,全国,醒神，解毒敛疮。,嗜睡，头疮，耳疮，臁疮，阴疮，瘭疽。,味甘，性微寒，入脾、肾二经,内服：烧灰，入丸、散，每次1-2g，每日3次。外用：适量，烧灰研末，调敷。,《本草经集注》：“马骨伤人，有毒。”
菊花苗,玉英,河南、安徽、浙江,清肝明目。,头风眩晕，目生翳膜。,味甘、微苦，性凉，入肺、肝、胆三经,内服：煎汤，6-12。外用：适量，煎水熏洗。,尚不明确。
多花筋骨草,味苦，性寒。归肺、大肠、胃、肝经,无毒,清热解毒，止血。,肺热咳嗽，咯血，疮痈肿毒。,植物,内服：煎汤，6-9g。外用：适量，捣敷。,脾胃虚寒者不宜用。
蕲蛇,白花蛇、褰鼻蛇、蕲州白花蛇、花蛇、五步蛇、百步蛇、盘蛇、棋盘蛇、五步跳、龙蛇、犁头匠、聋婆蛇（俗称）,味甘、咸，性温；归肝经,祛风，通络，止痉。,1、风湿顽痹，中风半身不遂：本品具走窜之性，性温通络，能内走脏腑，外达肌表而透骨搜风，以祛内外之风邪，为截风要药；又能通经络，凡风湿痹证无不宜之，尤善治病深日久之风湿顽痹，经络不通，麻木拘挛，以及中风口眼歪斜，半身不遂者。  2、小儿惊风，破伤风：本品入肝，既能祛外风，又能息内风，风去则惊搐自定，为治抽搐痉挛常用药。  3、麻风，疥癣：本品能外走肌表而祛风止痒，兼以毒攻毒，故风毒之邪壅于肌肤亦为常用之品。  4、本品以毒攻毒，可治瘰疬、梅毒、恶疮。 ,有毒,内服：煎汤，3-9g；研末吞服，1次1-1.5g，1日2-3次。或酒浸、熬膏、入丸散服。,阴虚内热者忌服。
景三七,景天三七、费菜、土三七,东北、西北、华东、河北、湖北、四川,散瘀止血，宁心安神，解毒。,用于吐血，咯血，牙龈出血，便血，尿血，崩漏，血小板减少性紫斑，外伤出血，心悸，烦躁失眠;外用治跌打损伤，外伤出血，烧烫伤，疮疖痈肿痛等症。,味甘、微酸，性平，归心、肝经,煎服，9～30g，或鲜品30～60g绞汁服。外用：适量，鲜品捣烂敷患处或研末撒敷。,脾胃虚寒者忌服。
荆芥叶莸,方梗金钱草、倒挂金钟、野苋草、边兰、半枝莲、莸,无毒,清暑解表，利湿解毒。,用于夏季感冒，中暑，热淋，带下，外伤出血。,植物,内服：煎汤，15-30g。外用：适量，捣敷。,
华风车子,水番桃、清凉树、四角风,江西、湖南、广西、广东,（根）清热、利胆；（叶）驱虫。,用于（根）黄疸型肝炎；（叶）蛔虫病，鞭虫病。外用鲜叶治烧、烫伤。,味甘、淡、微苦，性平，归胃、小肠经,根：15-30g。叶：9-18g，或用鲜叶30g。外用鲜叶捣烂，调淘米水外敷。,尚不明确。
丽江黄芩,小黄岑,味苦，性寒,清热解毒，止血安胎。,更年期红崩，内热胎动不安。,植物,3-9g。,
红血藤,味甘，性温。归肝经,无毒,补血，活血。,贫血，闭经，月经不调，筋骨疼痛。,植物,内服：煎汤，9-15g。,孕妇慎用。
红叶树子,小果山龙眼子,归胃经,解毒敛疮。,烧烫伤。,有毒,外用：适量，研末调敷。,不宜内服。
锦香草,白毛虎舌毡、老虎耳、石用、大虎耳草、山霸王,湖南、广东、广西、贵州、云南,清热凉血，利湿。,用于热毒血痢，湿热带下，月经不调，血热崩漏，肠热痔血，小儿阴囊肿大。,味苦、辛，性寒,内服：煎汤，15-30g；或泡酒。外用：适量，捣敷；或煎汤洗。,尚不明确。
华中瘤足蕨,微苦，凉。归肺、胃经,植物,清热解毒。,用于流行性感冒。,,内服：煎汤，9-15g。外用：适量，鲜品捣敷。,
覆盆子叶,西国草、覆盆草叶,微酸、咸，平。归肝经,清热解毒，明目，敛疮。,用于眼睑赤烂，目赤肿痛，青盲，牙痛，臁疮，疖肿。,无毒,外用：适量，捣汁点眼；或研末撒。,
岗边菊,大风草、鱼鳅串,苦、辛，温,温肺止咳，散寒止痛。,用于肺寒咳喘，胃脘冷痛。,植物,内服：煎汤，15-30g。,
柠檬桉树脂,味辛，性微温,植物,解毒敛疮。,用于创伤感染。,,外用：适量，溶入乙醇或甘油中外涂。,
茅栗叶,植物,,消食健胃。,用于消化不良。,,内服：煎汤，15-30g。,
丽江山慈菇,益辟坚、草贝母、土贝母、闹狗药、光慈菇、苦子、光苦子、光姑子,云南、西藏,散结止痛。,乳腺癌，鼻咽癌，唾腺肿瘤，瘰疬，皮肤肿块，痛风。,味苦、微辛，性微温,内服：研末，0.3-0.6g，同蜂蜜蒸。外用：适量，鲜品捣烂，醋调敷。,服用过量易中毒。年老体弱，尤其是肾、胃肠或心脏病患者慎服，孕妇禁服。
栲栗叶,无毒,植物,清热燥湿，涩肠止泻。,用于湿热泄泻。,,内服：煎汤，15-30g。,
牛胞衣,BostaurusdomesticusGmelin、BubalusbubalisLinnaeus,全国,敛疮，止痢。,臁疮，冷痢。,味甘，性温，归心、肝经,内服：烧灰，3-6g，粥饮调。外用：适量，烧灰，搽敷。,尚不明确。
